word,wordNum,freq,doc,freedomL,freedomR,type,newWordDate
章鱼哥的仇就由我来报,10,199,9.3,4.362,4.527,tes,tcsv.cs
开始出人头地双收名利,10,17,10.4,3.410,3.572,tes,tcsv.cs
开始了扰民一般的练习,10,17,10.4,3.337,3.617,tes,tcsv.cs
还有会永远支持你的朋友,11,38,9.9,3.478,2.911,tes,tcsv.cs
当章鱼哥拿起了他的竖笛,11,30,11.2,3.965,3.514,tes,tcsv.cs
什么,2,804,8.0,3.170,4.106,tes,tcsv.cs
知道,2,519,8.8,2.344,3.016,tes,tcsv.cs
正常,2,342,9.1,3.595,3.462,tes,tcsv.cs
鬼畜,2,236,9.9,2.593,3.643,tes,tcsv.cs
朋友,2,190,10.1,3.107,4.469,tes,tcsv.cs
弹幕,2,148,10.2,5.388,5.184,tes,tcsv.cs
合影,2,141,10.4,2.599,4.792,tes,tcsv.cs
牛逼,2,118,10.8,3.083,3.324,tes,tcsv.cs
感动,2,104,8.6,4.914,4.918,tes,tcsv.cs
开始,2,95,10.4,4.919,2.545,tes,tcsv.cs
冲鸭,2,87,9.6,3.100,3.901,tes,tcsv.cs
最后,2,84,8.7,4.150,2.276,tes,tcsv.cs
时候,2,83,10.8,2.132,4.446,tes,tcsv.cs
永远,2,82,11.1,2.991,2.495,tes,tcsv.cs
JO,2,72,10.6,2.498,2.991,tes,tcsv.cs
55,2,72,8.1,2.044,2.203,tes,tcsv.cs
硬币,2,67,10.3,3.750,4.506,tes,tcsv.cs
难过,2,65,9.5,2.311,4.196,tes,tcsv.cs
童年,2,62,11.3,3.827,4.651,tes,tcsv.cs
所以,2,62,9.3,3.346,4.302,tes,tcsv.cs
加油,2,61,11.8,3.994,4.228,tes,tcsv.cs
up,2,61,8.5,4.301,3.174,tes,tcsv.cs
三连,2,53,10.8,4.213,3.954,tes,tcsv.cs
已经,2,52,9.6,3.587,3.754,tes,tcsv.cs
难受,2,50,10.5,4.416,4.068,tes,tcsv.cs
视频,2,49,12.2,2.550,5.012,tes,tcsv.cs
字幕,2,46,8.6,4.222,3.319,tes,tcsv.cs
播放,2,46,11.7,3.179,2.177,tes,tcsv.cs
厉害,2,45,12.4,4.320,3.676,tes,tcsv.cs
真实,2,44,8.7,4.049,3.905,tes,tcsv.cs
眼睛,2,44,11.2,4.198,2.260,tes,tcsv.cs
莫名,2,43,10.8,4.647,3.360,tes,tcsv.cs
可以,2,42,8.6,4.559,4.701,tes,tcsv.cs
黄队,2,40,10.9,4.443,4.122,tes,tcsv.cs
突然,2,40,9.3,3.974,3.663,tes,tcsv.cs
炮姐,2,36,12.4,4.385,3.671,tes,tcsv.cs
兄弟,2,32,12.8,3.445,3.362,tes,tcsv.cs
应该,2,29,8.3,3.275,3.422,tes,tcsv.cs
感觉,2,29,9.1,3.788,4.418,tes,tcsv.cs
注意,2,28,11.9,3.794,2.849,tes,tcsv.cs
圆滑,2,26,12.5,2.961,3.266,tes,tcsv.cs
伤感,2,26,9.0,3.271,4.104,tes,tcsv.cs
必须,2,25,12.7,4.134,3.458,tes,tcsv.cs
留名,2,24,9.6,3.668,4.137,tes,tcsv.cs
各位,2,24,12.9,3.918,2.197,tes,tcsv.cs
回忆,2,23,10.9,2.801,3.518,tes,tcsv.cs
调音,2,23,10.1,2.019,2.258,tes,tcsv.cs
羡慕,2,23,13.4,2.699,2.359,tes,tcsv.cs
投币,2,22,9.4,3.880,4.187,tes,tcsv.cs
喵内,2,21,12.2,3.059,2.249,tes,tcsv.cs
哭辽,2,21,8.3,3.690,4.011,tes,tcsv.cs
太阳,2,21,10.8,2.426,2.314,tes,tcsv.cs
硬核,2,21,10.8,3.744,2.272,tes,tcsv.cs
致敬,2,20,13.0,3.722,2.295,tes,tcsv.cs
心疼,2,17,10.7,3.057,3.293,tes,tcsv.cs
时间,2,17,10.0,3.690,3.287,tes,tcsv.cs
提前,2,17,9.3,3.735,2.016,tes,tcsv.cs
卧槽,2,16,13.9,3.031,2.647,tes,tcsv.cs
心酸,2,16,10.3,2.977,3.281,tes,tcsv.cs
表白,2,16,11.5,3.156,2.727,tes,tcsv.cs
门上,2,16,10.2,3.156,2.436,tes,tcsv.cs
希望,2,16,13.4,3.250,3.149,tes,tcsv.cs
终于,2,15,12.9,2.597,2.740,tes,tcsv.cs
蟹蟹,2,14,9.5,2.093,2.093,tes,tcsv.cs
点赞,2,14,9.8,2.692,2.950,tes,tcsv.cs
洞洞,2,14,11.5,2.360,2.217,tes,tcsv.cs
可怜,2,14,10.5,2.700,2.360,tes,tcsv.cs
留念,2,14,10.7,2.807,3.468,tes,tcsv.cs
米皮,2,13,13.1,2.661,2.873,tes,tcsv.cs
押韵,2,13,13.2,3.547,3.181,tes,tcsv.cs
笑死,2,12,9.7,3.252,2.522,tes,tcsv.cs
绿队,2,12,10.9,3.418,3.585,tes,tcsv.cs
蕾姆,2,12,13.7,3.189,3.585,tes,tcsv.cs
疯子,2,12,10.0,2.689,2.451,tes,tcsv.cs
神作,2,12,9.7,3.418,3.418,tes,tcsv.cs
伤心,2,12,8.7,3.252,3.418,tes,tcsv.cs
嘿嘿,2,12,13.0,2.292,2.126,tes,tcsv.cs
纪念,2,12,12.5,2.292,3.022,tes,tcsv.cs
沙子,2,12,10.0,2.055,2.252,tes,tcsv.cs
马上,2,11,9.5,2.369,2.732,tes,tcsv.cs
动画,2,11,9.3,3.278,2.049,tes,tcsv.cs
棺材,2,11,14.0,3.027,3.278,tes,tcsv.cs
曾经,2,11,11.5,3.096,2.732,tes,tcsv.cs
竟然,2,10,9.0,2.446,3.122,tes,tcsv.cs
很棒,2,10,8.9,2.522,2.846,tes,tcsv.cs
作者,2,10,10.7,3.122,2.922,tes,tcsv.cs
居然,2,10,9.2,2.322,2.846,tes,tcsv.cs
循环,2,10,14.6,3.122,2.922,tes,tcsv.cs
洛温,2,10,13.6,2.846,2.646,tes,tcsv.cs
优秀,2,10,13.4,2.722,2.922,tes,tcsv.cs
聪明,2,10,10.9,2.646,2.246,tes,tcsv.cs
分钟,2,10,12.5,2.446,3.322,tes,tcsv.cs
BGM,3,109,10.3,4.714,3.087,tes,tcsv.cs
bgm,3,83,9.9,4.880,3.898,tes,tcsv.cs
花之舞,3,73,11.5,3.963,4.471,tes,tcsv.cs
555,3,48,9.3,2.226,2.426,tes,tcsv.cs,55,72,8.1,2.044,2.203
冲冲冲,3,45,9.1,2.602,2.368,tes,tcsv.cs
嘤嘤嘤,3,44,11.0,2.327,2.329,tes,tcsv.cs
保护壳,3,43,12.1,4.636,4.594,tes,tcsv.cs
QAQ,3,39,11.3,2.413,4.336,tes,tcsv.cs
rua,3,32,8.7,4.039,3.703,tes,tcsv.cs
播放量,3,30,12.2,3.108,3.689,tes,tcsv.cs,播放,46,11.7,3.179,2.177
RUA,3,22,11.1,3.352,3.005,tes,tcsv.cs
第一次,3,22,8.9,3.477,3.482,tes,tcsv.cs
up主,3,22,9.7,3.936,3.880,tes,tcsv.cs,up,61,8.5,4.301,3.174
小时候,3,17,9.1,3.455,3.220,tes,tcsv.cs,时候,83,10.8,2.132,4.446
蟹老板,3,16,11.4,2.375,2.647,tes,tcsv.cs
越来越,3,14,12.2,2.700,2.064,tes,tcsv.cs
眼睛里,3,14,8.8,3.522,2.261,tes,tcsv.cs,眼睛,44,11.2,4.198,2.260
能天使,3,12,9.9,3.085,2.055,tes,tcsv.cs
处刑曲,3,12,12.8,2.355,3.252,tes,tcsv.cs
skr,3,11,9.3,2.369,2.404,tes,tcsv.cs
233,3,10,9.3,2.922,3.322,tes,tcsv.cs
千万助攻,4,285,8.5,4.033,4.814,tes,tcsv.cs
某音已盗,4,121,10.4,4.775,5.037,tes,tcsv.cs
每日一刷,4,65,9.0,4.015,4.597,tes,tcsv.cs
火钳刘明,4,64,10.9,4.457,4.454,tes,tcsv.cs
JOJO,4,36,10.7,2.941,3.927,tes,tcsv.cs,JO,72,10.6,2.498,2.991
jojo,4,27,8.1,3.302,4.032,tes,tcsv.cs
忘乎所以,4,23,10.6,3.414,3.495,tes,tcsv.cs,所以,62,9.3,3.346,4.302
前方高能,4,21,10.4,3.618,3.368,tes,tcsv.cs
600W,4,19,8.0,3.432,2.774,tes,tcsv.cs
字幕颜色,4,18,10.6,3.350,2.642,tes,tcsv.cs,字幕,46,8.6,4.222,3.319
求BGM,4,11,10.0,3.278,2.482,tes,tcsv.cs,BGM,109,10.3,4.714,3.087
某音以盗,4,11,10.2,2.595,3.278,tes,tcsv.cs
上海zoo,5,17,8.1,3.572,2.016,tes,tcsv.cs
最好的朋友,5,11,9.5,3.096,3.096,tes,tcsv.cs,朋友,190,10.1,3.107,4.469
555555,6,12,9.1,2.126,2.292,tes,tcsv.cs,55,72,8.1,2.044,2.203,555,48,9.3,2.226,2.426
NOTHING,7,44,9.6,2.783,3.525,tes,tcsv.cs
请收下我的膝盖,7,12,12.8,3.022,3.418,tes,tcsv.cs
被生活磨平了棱角,8,38,10.2,3.966,4.376,tes,tcsv.cs
某音已盗某音已盗,8,17,10.3,2.205,2.558,tes,tcsv.cs,某音已盗,121,10.4,4.775,5.037
还有作为方块的棱角,9,18,9.9,3.414,3.128,tes,tcsv.cs
